what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1507130482761
started,bundle,com.soyatec.additional,3.7.1.20110624,"com.soyatec.additional",1507130483794
started,bundle,org.eclipse.php.core,3.0.1.v201201110400,"org.eclipse.php.core",1507130486711
started,bundle,org.eclipse.gef,3.9.100.201405261516,"org.eclipse.gef",1507130489221
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1507130489386
started,bundle,org.eclipse.emf.ecore.edit,2.7.1.v20120130-0943,"org.eclipse.emf.ecore.edit",1507130489429
started,bundle,org.eclipse.draw2d,3.9.100.201405261516,"org.eclipse.draw2d",1507130489615
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1507130489687
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1507130489689
started,bundle,org.eclipse.uml2.uml.edit,3.1.100.v201009281840,"org.eclipse.uml2.uml.edit",1507130489696
started,bundle,org.eclipse.uml2.common.edit,1.5.0.v201005031530,"org.eclipse.uml2.common.edit",1507130490981
started,bundle,org.eclipse.emf.ecore.change,2.7.1.v20120127-1122,"org.eclipse.emf.ecore.change",1507130491115
started,bundle,org.eclipse.uml2.common,1.6.0.v201105021727,"org.eclipse.uml2.common",1507130491118
started,bundle,com.soyatec.model,3.7.1.20110624,"com.soyatec.model",1507130494449
opened,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1507130494698
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.jdt.ui.PackageExplorer while still in the middle of activating part com.soyatec.uml.ClassDiagramEditor",1507130494903
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1507130495180
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1507130495307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507130496283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507130504428
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1507130504562
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1507130522676
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1507130522789
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1507130539595
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1507130542480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507130543516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507130543527
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1507130545151
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1507130549041
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1507130549114
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1507130549151
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1507130549486
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1507130549529
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1507130549560
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1507130549940
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1507130549987
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1507130553395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507130569256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507130570555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507130570895
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1507130573094
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1507130573097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507130573184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507130577189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507130579967
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1507130587083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1507130588661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507130601787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507130603492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507130641243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507130664246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1507130690808
